
0.06         0.00           76
0.07         0.00            2
0.08         6.67           15
0.09         0.00            3
0.10         4.76           42
0.11        25.00           36
0.12         5.26           76
0.13         0.00            3
0.14        30.00           10
0.15        11.11            9
0.17        29.09           55
0.18        17.11           76
0.20        34.21           38
0.21        33.33           21
0.22        25.00           44
0.23        33.33            9
0.24        21.05           76
0.25        43.10           58
0.27         0.00            1
0.28        18.18           11
0.29        32.50           80
0.30        21.43           14
0.31         0.00            1
0.32         0.00            1
0.33        45.56           90
0.35        31.58           76
0.36       100.00            1
0.37        42.86            7
0.38        33.33            3
0.39       100.00            2
0.40        35.14           37
0.41        40.79           76
0.42         0.00            1
0.43        50.00            4
0.44        38.64           44
0.46        40.00            5
0.47        55.84           77
0.48        20.00            5
0.50        50.00           24
0.52        80.00            5
0.53        44.16           77
0.54        60.00            5
0.56        61.36           44
0.57        50.00            4
0.58       100.00            1
0.59        59.21           76
0.60        64.86           37
0.61         0.00            2
0.62        60.00           10
0.64         0.00            1
0.65        68.42           76
0.67        54.44           90
0.68       100.00            1
0.69       100.00            1
0.70        78.57           14
0.71        67.50           80
0.72        81.82           11
0.73       100.00            1
0.75        56.90           58
0.76        78.95           76
0.77        66.67            9
0.78        75.00           44
0.79        66.67           21
0.80        65.79           38
0.82        82.89           76
0.83        70.91           55
0.85        88.89            9
0.86        70.00           10
0.88        94.94           79
0.89        75.00           36
0.90        95.24           42
0.91       100.00            3
0.92        93.33           15
0.93       100.00            2
0.94       100.00           76
